idinteraccion,idorigen,tipoorigen,iddestino,tipodestino,tipointeraccion,valorinteraccion,idprecedente,idcurso,fecha,plataforma
0,575,alumno,-1,null,publicacion,Nobis architecto a quas dolor eius eaque voluptatem dolorem qui unde qui dolorem commodi corporis sunt quasi omnis et nihil.,-1,0,2013-08-26 20:08:33.949,crea
1,586,alumno,-1,null,publicacion,Numquam quia qui enim consectetur cum sunt voluptates sit doloribus magni autem tenetur harum quaerat ut consequuntur fuga consequatur.,-1,0,2013-09-04 03:13:40.116,crea
2,432,alumno,17,material,consulta,null,-1,0,2013-08-26 12:49:06.041,facebook
3,578,alumno,-1,null,publicacion,Pariatur consequatur in aut qui in est beatae enim ut est et reprehenderit quod beatae expedita at explicabo.,-1,0,2013-09-04 18:20:48.562,crea
4,586,alumno,26,material,consulta,null,-1,0,2013-10-13 05:48:27.307,crea
5,171,alumno,-1,null,publicacion,Eos placeat qui maxime excepturi ab magnam sunt perspiciatis minima quod consequatur dolore aut ipsa architecto impedit at unde.,-1,0,2013-11-19 01:34:54.243,crea
6,71,alumno,71,alumno,mensaje,Ipsam voluptatem minus eligendi harum culpa est qui laudantium eum quos impedit consequatur minus et enim inventore aut et.,-1,0,2013-10-29 11:09:15.348,crea
7,71,alumno,575,alumno,mencion,@voluptas,0,0,2013-09-21 06:22:14.696,facebook
8,89,alumno,-1,null,publicacion,Quas qui maxime ut totam quia dicta sed architecto est vel nemo perferendis vitae qui numquam in accusantium.,-1,0,2013-10-29 14:07:25.417,facebook
9,299,alumno,565,alumno,mensaje,Asperiores et voluptatem facere aut velit quibusdam modi numquam veritatis fugit necessitatibus iste eligendi quam aut libero est facilis sapiente asperiores.,6,0,2013-10-09 12:11:40.381,crea
10,575,alumno,71,alumno,mensaje,Qui fuga saepe quae expedita dolor veritatis porro voluptas sequi quibusdam culpa debitis quis ut rerum neque.,6,0,2013-08-20 19:38:16.261,crea
11,586,alumno,71,alumno,comentario,Ipsam odit ea et debitis repudiandae autem corporis in fugit repellendus sed.,7,0,2013-09-10 15:37:44.959,facebook
12,89,alumno,71,alumno,reaccion,me_entristece,7,0,2013-10-12 01:13:53.099,facebook
13,410,alumno,575,alumno,reaccion,me_enoja,0,0,2013-10-22 05:20:43.939,facebook
14,410,alumno,89,alumno,reaccion,me_entristece,8,0,2013-09-11 07:45:45.236,facebook
15,578,alumno,89,alumno,reaccion,me_gusta,12,0,2013-09-15 12:24:22.752,facebook
16,0,docente,89,alumno,comentario,Itaque accusamus numquam aut est dolorem aut et dignissimos aut in tenetur officiis necessitatibus qui.,8,0,2013-11-27 17:40:34.528,facebook
17,74,alumno,13,material,consulta,null,-1,0,2013-09-02 16:57:18.376,facebook
18,71,alumno,575,alumno,mencion,@doloremque,0,0,2013-11-10 16:56:00.431,facebook
19,319,alumno,71,alumno,mencion,@cumque,18,0,2013-11-21 14:09:32.479,facebook
20,34,alumno,71,alumno,comentario,Quaerat sint hic eveniet commodi officia velit animi qui recusandae est in sit sint nisi.,7,0,2013-09-28 00:35:21.368,facebook
21,586,alumno,89,alumno,reaccion,me_encanta,8,0,2013-08-16 09:28:48.446,facebook
22,214,alumno,-1,null,publicacion,Eum qui ut eum nostrum cum sed voluptas impedit qui aut repellendus quia tempore fugit qui itaque tempora autem.,-1,0,2013-10-05 16:50:20.079,facebook
23,466,alumno,-1,null,publicacion,Et deserunt minus ex voluptates sint aut nemo quis enim et est minus consequatur quo explicabo eaque consequuntur.,-1,0,2013-11-13 18:02:46.739,facebook
24,578,alumno,26,material,consulta,null,-1,0,2013-09-25 17:12:03.671,crea
25,0,docente,214,alumno,mensaje,Minus qui saepe iste consequatur labore cum minus quod dolorem porro sunt ab nihil labore ea hic aut quisquam nulla animi.,-1,0,2013-10-15 16:34:35.424,crea
